type,date,label,id,name,role,short_topic,long_topic,short_title,long_title,plan_type,lat,lon,zone,zone_detail,start,end
entity.organization,NA,NA,Daughters of Port Grove,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
entity.organization,NA,NA,Industrial Shipping,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
entity.organization,NA,NA,Builders Association,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
entity.organization,NA,NA,PTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
topic,NA,expanding_tourist_wharf,expanding_tourist_wharf,NA,NA,expanding_tourist_wharf,Expanding the tourist wharf/infrastructure in Haacklee,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,NA,expanding_tourist_wharf_Meeting_7_Initial_Views_Discussion,expanding_tourist_wharf_Meeting_7_Initial_Views_Discussion,NA,NA,NA,NA,expanding_tourist_wharf_Meeting_7_Initial_Views_Discussion,Discuss and share initial views on expanding the tourist wharf/infrastructure,NA,NA,NA,NA,NA,NA,NA
discussion,NA,expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Discussion_Tourist,expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Discussion_Tourist,NA,NA,NA,NA,expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Discussion_Tourist,Discuss travel plans to Harbor Route Solutions in Haacklee,NA,NA,NA,NA,NA,NA,NA
plan,NA,expanding_tourist_wharf_Travel_Harbor_Route_Solutions,expanding_tourist_wharf_Travel_Harbor_Route_Solutions,NA,NA,NA,NA,expanding_tourist_wharf_Travel_Harbor_Route_Solutions,Travel to Harbor Route Solutions in Haacklee,Travel,NA,NA,NA,NA,NA,NA
NA,NA,Harbor Route Solutions,35889363,NA,NA,NA,NA,NA,NA,NA,-165.68041773674673,38.98946585258907,industrial,NA,NA,NA
discussion,NA,expanding_tourist_wharf_Meeting_8_Expand_Ideas_Discussion,expanding_tourist_wharf_Meeting_8_Expand_Ideas_Discussion,NA,NA,NA,NA,expanding_tourist_wharf_Meeting_8_Expand_Ideas_Discussion,Expand on views and ideas discussed in the previous meeting,NA,NA,NA,NA,NA,NA,NA
discussion,NA,expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Completed_Discussion_Tourist,expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Completed_Discussion_Tourist,NA,NA,NA,NA,expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Completed_Discussion_Tourist,Discuss the completed travel plans to Harbor Route Solutions in Haacklee,NA,NA,NA,NA,NA,NA,NA
discussion,NA,expanding_tourist_wharf_Meeting_9_Start_Report_Discussion,expanding_tourist_wharf_Meeting_9_Start_Report_Discussion,NA,NA,NA,NA,expanding_tourist_wharf_Meeting_9_Start_Report_Discussion,Get a formal cost impact & environment report started,NA,NA,NA,NA,NA,NA,NA
plan,NA,expanding_tourist_wharf_Meeting_9_Report,expanding_tourist_wharf_Meeting_9_Report,NA,NA,NA,NA,expanding_tourist_wharf_Meeting_9_Report,Get a formal cost impact & environment report,Report,NA,NA,NA,NA,NA,NA
discussion,NA,expanding_tourist_wharf_Meeting_10_Report_Update_Discussion,expanding_tourist_wharf_Meeting_10_Report_Update_Discussion,NA,NA,NA,NA,expanding_tourist_wharf_Meeting_10_Report_Update_Discussion,Update on formal cost impact & environment report,NA,NA,NA,NA,NA,NA,NA
discussion,NA,expanding_tourist_wharf_Meeting_11_Report_Update_Discussion,expanding_tourist_wharf_Meeting_11_Report_Update_Discussion,NA,NA,NA,NA,expanding_tourist_wharf_Meeting_11_Report_Update_Discussion,Update on formal cost impact & environment report,NA,NA,NA,NA,NA,NA,NA
topic,NA,statue_john_smoth,statue_john_smoth,NA,NA,statue_john_smoth,Statue to honor John Smoth in Port Grove,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,NA,statue_john_smoth_Meeting_8_Proposal_Discussion,statue_john_smoth_Meeting_8_Proposal_Discussion,NA,NA,NA,NA,statue_john_smoth_Meeting_8_Proposal_Discussion,Present proposal for the statue to honor John Smoth,NA,NA,NA,NA,NA,NA,NA
plan,NA,statue_john_smoth_Meeting_8_Proposal,statue_john_smoth_Meeting_8_Proposal,NA,NA,NA,NA,statue_john_smoth_Meeting_8_Proposal,Present proposal for the statue to honor John Smoth,proposal,NA,NA,NA,NA,NA,NA
discussion,NA,statue_john_smoth_Travel_The_Bait_Stich_Discussion,statue_john_smoth_Travel_The_Bait_Stich_Discussion,NA,NA,NA,NA,statue_john_smoth_Travel_The_Bait_Stich_Discussion,Discuss travel plans to The Bait & Stich for feedback gathering,NA,NA,NA,NA,NA,NA,NA
plan,NA,statue_john_smoth_Travel_The_Bait_Stich,statue_john_smoth_Travel_The_Bait_Stich,NA,NA,NA,NA,statue_john_smoth_Travel_The_Bait_Stich,Travel to The Bait & Stich,Travel,NA,NA,NA,NA,NA,NA
place,NA,The Bait & Stich,2519420987,The Bait & Stich,NA,NA,NA,NA,NA,NA,-165.9570387791253,39.09481909072149,tourism,restaurant,NA,NA
discussion,NA,statue_john_smoth_Meeting_9_Gather_Feedback_Discussion,statue_john_smoth_Meeting_9_Gather_Feedback_Discussion,NA,NA,NA,NA,statue_john_smoth_Meeting_9_Gather_Feedback_Discussion,Gather community feedback on the proposed statue,NA,NA,NA,NA,NA,NA,NA
plan,NA,statue_john_smoth_Meeting_9_Feedback,statue_john_smoth_Meeting_9_Feedback,NA,NA,NA,NA,statue_john_smoth_Meeting_9_Feedback,Gather community feedback on the proposed statue,feedback,NA,NA,NA,NA,NA,NA
discussion,NA,statue_john_smoth_Travel_The_Bait_Stich_Completed_Discussion,statue_john_smoth_Travel_The_Bait_Stich_Completed_Discussion,NA,NA,NA,NA,statue_john_smoth_Travel_The_Bait_Stich_Completed_Discussion,Discuss the completed travel plans to The Bait & Stich,NA,NA,NA,NA,NA,NA,NA
discussion,NA,statue_john_smoth_Meeting_10_Presentation_Discussion,statue_john_smoth_Meeting_10_Presentation_Discussion,NA,NA,NA,NA,statue_john_smoth_Meeting_10_Presentation_Discussion,Provide presentation on feedback and costs,NA,NA,NA,NA,NA,NA,NA
plan,NA,statue_john_smoth_Meeting_10_Presentation,statue_john_smoth_Meeting_10_Presentation,NA,NA,NA,NA,statue_john_smoth_Meeting_10_Presentation,Provide presentation on feedback and costs,presentation,NA,NA,NA,NA,NA,NA
topic,NA,deep_fishing_dock,deep_fishing_dock,NA,NA,deep_fishing_dock,Deep maintenance to the commercial fishing dock at Himark,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,NA,deep_fishing_dock_Meeting_2_Importance_Discussion,deep_fishing_dock_Meeting_2_Importance_Discussion,NA,NA,NA,NA,deep_fishing_dock_Meeting_2_Importance_Discussion,Discuss the importance of maintenance and allocate initial budget,NA,NA,NA,NA,NA,NA,NA
discussion,NA,deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Discussion,deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Discussion,NA,NA,NA,NA,deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Discussion,Discuss travel plans to High Seas Fishing Inc. in Himark,NA,NA,NA,NA,NA,NA,NA
plan,NA,deep_fishing_dock_Travel_High_Seas_Fishing_Inc,deep_fishing_dock_Travel_High_Seas_Fishing_Inc,NA,NA,NA,NA,deep_fishing_dock_Travel_High_Seas_Fishing_Inc,Travel to High Seas Fishing Inc. in Himark,Travel,NA,NA,NA,NA,NA,NA
NA,NA,High Seas Fishing Inc.,3753651731,NA,NA,NA,NA,NA,NA,NA,-165.88631162829017,39.65407871983316,industrial,NA,NA,NA
discussion,NA,deep_fishing_dock_Meeting_3_Maintenance_Plan_Discussion,deep_fishing_dock_Meeting_3_Maintenance_Plan_Discussion,NA,NA,NA,NA,deep_fishing_dock_Meeting_3_Maintenance_Plan_Discussion,Discuss maintenance plan and designate travel representatives,NA,NA,NA,NA,NA,NA,NA
plan,NA,deep_fishing_dock_Meeting_3_Maintenance_Plan,deep_fishing_dock_Meeting_3_Maintenance_Plan,NA,NA,NA,NA,deep_fishing_dock_Meeting_3_Maintenance_Plan,Discuss maintenance plan and designate travel representatives,proposal,NA,NA,NA,NA,NA,NA
discussion,NA,deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Completed_Discussion,deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Completed_Discussion,NA,NA,NA,NA,deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Completed_Discussion,Discuss the completed travel plans to High Seas Fishing Inc. in Himark,NA,NA,NA,NA,NA,NA,NA
discussion,NA,deep_fishing_dock_Meeting_4_Findings_Report_Discussion,deep_fishing_dock_Meeting_4_Findings_Report_Discussion,NA,NA,NA,NA,deep_fishing_dock_Meeting_4_Findings_Report_Discussion,Report on findings from dock visit,NA,NA,NA,NA,NA,NA,NA
plan,NA,deep_fishing_dock_Meeting_4_Findings_Report,deep_fishing_dock_Meeting_4_Findings_Report,NA,NA,NA,NA,deep_fishing_dock_Meeting_4_Findings_Report,Report on findings from dock visit,report,NA,NA,NA,NA,NA,NA
discussion,NA,deep_fishing_dock_Meeting_4_Recommendation_Discussion,deep_fishing_dock_Meeting_4_Recommendation_Discussion,NA,NA,NA,NA,deep_fishing_dock_Meeting_4_Recommendation_Discussion,Provide recommendation based on visit feedback,NA,NA,NA,NA,NA,NA,NA
plan,NA,deep_fishing_dock_Meeting_4_Recommendation,deep_fishing_dock_Meeting_4_Recommendation,NA,NA,NA,NA,deep_fishing_dock_Meeting_4_Recommendation,Provide recommendation based on visit feedback,take action,NA,NA,NA,NA,NA,NA
topic,NA,new_crane_lomark,new_crane_lomark,NA,NA,new_crane_lomark,Money for a new crane at Lomark,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,NA,new_crane_lomark_Meeting_4_Cost_Analysis_Discussion,new_crane_lomark_Meeting_4_Cost_Analysis_Discussion,NA,NA,NA,NA,new_crane_lomark_Meeting_4_Cost_Analysis_Discussion,Present cost analysis for the new crane,NA,NA,NA,NA,NA,NA,NA
plan,NA,new_crane_lomark_Meeting_4_Cost_Analysis,new_crane_lomark_Meeting_4_Cost_Analysis,NA,NA,NA,NA,new_crane_lomark_Meeting_4_Cost_Analysis,Present cost analysis for the new crane,presentation,NA,NA,NA,NA,NA,NA
discussion,NA,new_crane_lomark_Travel_Blue_Wave_Shipping_Discussion,new_crane_lomark_Travel_Blue_Wave_Shipping_Discussion,NA,NA,NA,NA,new_crane_lomark_Travel_Blue_Wave_Shipping_Discussion,Discuss travel plans to Blue Wave Shipping in Lomark,NA,NA,NA,NA,NA,NA,NA
plan,NA,new_crane_lomark_Travel_Blue_Wave_Shipping,new_crane_lomark_Travel_Blue_Wave_Shipping,NA,NA,NA,NA,new_crane_lomark_Travel_Blue_Wave_Shipping,Travel to Blue Wave Shipping in Lomark,Travel,NA,NA,NA,NA,NA,NA
NA,NA,Blue Wave Shipping,491334376,NA,NA,NA,NA,NA,NA,NA,-165.59436715313234,39.55699548649617,industrial,NA,NA,NA
discussion,NA,new_crane_lomark_Meeting_5_Cost_Impact_Report_Discussion,new_crane_lomark_Meeting_5_Cost_Impact_Report_Discussion,NA,NA,NA,NA,new_crane_lomark_Meeting_5_Cost_Impact_Report_Discussion,Get a formal cost impact & environment report started,NA,NA,NA,NA,NA,NA,NA
plan,NA,new_crane_lomark_Meeting_5_Cost_Impact_Report,new_crane_lomark_Meeting_5_Cost_Impact_Report,NA,NA,NA,NA,new_crane_lomark_Meeting_5_Cost_Impact_Report,Get a formal cost impact & environment report,report,NA,NA,NA,NA,NA,NA
discussion,NA,new_crane_lomark_Travel_Blue_Wave_Shipping_Completed_Discussion,new_crane_lomark_Travel_Blue_Wave_Shipping_Completed_Discussion,NA,NA,NA,NA,new_crane_lomark_Travel_Blue_Wave_Shipping_Completed_Discussion,Discuss the completed travel plans to Blue Wave Shipping in Lomark,NA,NA,NA,NA,NA,NA,NA
discussion,NA,new_crane_lomark_Meeting_8_Share_Findings_Discussion,new_crane_lomark_Meeting_8_Share_Findings_Discussion,NA,NA,NA,NA,new_crane_lomark_Meeting_8_Share_Findings_Discussion,Share findings and plan next steps,NA,NA,NA,NA,NA,NA,NA
plan,NA,new_crane_lomark_Meeting_8_Share_Findings,new_crane_lomark_Meeting_8_Share_Findings,NA,NA,NA,NA,new_crane_lomark_Meeting_8_Share_Findings,Share findings and plan next steps,report,NA,NA,NA,NA,NA,NA
topic,NA,fish_vacuum,fish_vacuum,NA,NA,fish_vacuum,Fish Vacuum,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,NA,fish_vacuum_Meeting_1_Introduction_Discussion,fish_vacuum_Meeting_1_Introduction_Discussion,NA,NA,NA,NA,fish_vacuum_Meeting_1_Introduction_Discussion,General Introduction to what a fish vacuum is,NA,NA,NA,NA,NA,NA,NA
plan,NA,fish_vacuum_Meeting_1_Introduction,fish_vacuum_Meeting_1_Introduction,NA,NA,NA,NA,fish_vacuum_Meeting_1_Introduction,General Introduction to what a fish vacuum is,presentation,NA,NA,NA,NA,NA,NA
NA,NA,NA,Bay Harvest Corporation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,NA,fish_vacuum_Travel_Bay_Harvest_Corporation_Discussion,fish_vacuum_Travel_Bay_Harvest_Corporation_Discussion,NA,NA,NA,NA,fish_vacuum_Travel_Bay_Harvest_Corporation_Discussion,Discuss travel plans to Bay Harvest Corporation in Himark,NA,NA,NA,NA,NA,NA,NA
plan,NA,fish_vacuum_Travel_Bay_Harvest_Corporation,fish_vacuum_Travel_Bay_Harvest_Corporation,NA,NA,NA,NA,fish_vacuum_Travel_Bay_Harvest_Corporation,Travel to Bay Harvest Corporation in Himark,Travel,NA,NA,NA,NA,NA,NA
NA,NA,Bay Harvest Corporation,30192735,NA,NA,NA,NA,NA,NA,NA,-165.88484202581887,39.65638234598041,industrial,NA,NA,NA
discussion,NA,fish_vacuum_Meeting_2_Cost_Benefit_Analysis_Discussion,fish_vacuum_Meeting_2_Cost_Benefit_Analysis_Discussion,NA,NA,NA,NA,fish_vacuum_Meeting_2_Cost_Benefit_Analysis_Discussion,Provide cost-benefit analysis of implementing a fish vacuum,NA,NA,NA,NA,NA,NA,NA
plan,NA,fish_vacuum_Meeting_2_Cost_Benefit_Analysis,fish_vacuum_Meeting_2_Cost_Benefit_Analysis,NA,NA,NA,NA,fish_vacuum_Meeting_2_Cost_Benefit_Analysis,Provide cost-benefit analysis of implementing a fish vacuum,proposal,NA,NA,NA,NA,NA,NA
discussion,NA,fish_vacuum_Travel_Bay_Harvest_Corporation_Completed_Discussion,fish_vacuum_Travel_Bay_Harvest_Corporation_Completed_Discussion,NA,NA,NA,NA,fish_vacuum_Travel_Bay_Harvest_Corporation_Completed_Discussion,Discuss the completed travel plans to Bay Harvest Corporation in Lomark,NA,NA,NA,NA,NA,NA,NA
discussion,NA,fish_vacuum_Meeting_3_Report_Discussion,fish_vacuum_Meeting_3_Report_Discussion,NA,NA,NA,NA,fish_vacuum_Meeting_3_Report_Discussion,Provide report on cost-benefit analysis,NA,NA,NA,NA,NA,NA,NA
plan,NA,fish_vacuum_Meeting_3_Report,fish_vacuum_Meeting_3_Report,NA,NA,NA,NA,fish_vacuum_Meeting_3_Report,Provide report on cost-benefit analysis,report,NA,NA,NA,NA,NA,NA
topic,NA,low_volume_crane,low_volume_crane,NA,NA,low_volume_crane,Low-volume unload crane in Haacklee,NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,NA,low_volume_crane_Meeting_3_Proposal_Discussion,low_volume_crane_Meeting_3_Proposal_Discussion,NA,NA,NA,NA,low_volume_crane_Meeting_3_Proposal_Discussion,Discuss potential benefits of low-volume unload crane,NA,NA,NA,NA,NA,NA,NA
plan,NA,low_volume_crane_Meeting_3_Proposal,low_volume_crane_Meeting_3_Proposal,NA,NA,NA,NA,low_volume_crane_Meeting_3_Proposal,Discuss potential benefits of low-volume unload crane,proposal,NA,NA,NA,NA,NA,NA
discussion,NA,low_volume_crane_Travel_Harbor_Route_Solutions_Discussion,low_volume_crane_Travel_Harbor_Route_Solutions_Discussion,NA,NA,NA,NA,low_volume_crane_Travel_Harbor_Route_Solutions_Discussion,Discuss travel plans to Harbor Route Solutions in Haacklee,NA,NA,NA,NA,NA,NA,NA
plan,NA,low_volume_crane_Travel_Harbor_Route_Solutions,low_volume_crane_Travel_Harbor_Route_Solutions,NA,NA,NA,NA,low_volume_crane_Travel_Harbor_Route_Solutions,Travel to Harbor Route Solutions in Haacklee,Travel,NA,NA,NA,NA,NA,NA
discussion,NA,low_volume_crane_Travel_Harbor_Route_Solutions_Completed_Discussion_Crane,low_volume_crane_Travel_Harbor_Route_Solutions_Completed_Discussion_Crane,NA,NA,NA,NA,low_volume_crane_Travel_Harbor_Route_Solutions_Completed_Discussion_Crane,Discuss the completed travel plans to Harbor Route Solutions in Haacklee,NA,NA,NA,NA,NA,NA,NA
discussion,NA,low_volume_crane_Travel_Harbor_Builders_Discussion,low_volume_crane_Travel_Harbor_Builders_Discussion,NA,NA,NA,NA,low_volume_crane_Travel_Harbor_Builders_Discussion,Discuss travel plans to Harbor Builders in Haacklee,NA,NA,NA,NA,NA,NA,NA
plan,NA,low_volume_crane_Travel_Harbor_Builders,low_volume_crane_Travel_Harbor_Builders,NA,NA,NA,NA,low_volume_crane_Travel_Harbor_Builders,Travel to Harbor Builders in Haacklee,Travel,NA,NA,NA,NA,NA,NA
NA,NA,Harbor Builders,35922181,NA,NA,NA,NA,NA,NA,NA,-165.67106823674675,38.99472785258907,industrial,NA,NA,NA
discussion,NA,low_volume_crane_Travel_Haacklee_Assembly_Co_Discussion,low_volume_crane_Travel_Haacklee_Assembly_Co_Discussion,NA,NA,NA,NA,low_volume_crane_Travel_Haacklee_Assembly_Co_Discussion,Discuss travel plans to Haacklee Assembly Co. in Haacklee,NA,NA,NA,NA,NA,NA,NA
plan,NA,low_volume_crane_Travel_Haacklee_Assembly_Co,low_volume_crane_Travel_Haacklee_Assembly_Co,NA,NA,NA,NA,low_volume_crane_Travel_Haacklee_Assembly_Co,Travel to Haacklee Assembly Co. in Haacklee,Travel,NA,NA,NA,NA,NA,NA
NA,NA,Haacklee Assembly Co.,35872967,NA,NA,NA,NA,NA,NA,NA,-165.67991093674675,38.99139455258907,industrial,NA,NA,NA
discussion,NA,low_volume_crane_Meeting_8_Report_Discussion,low_volume_crane_Meeting_8_Report_Discussion,NA,NA,NA,NA,low_volume_crane_Meeting_8_Report_Discussion,Report on travel and submit letter of support for low-volume unload crane,NA,NA,NA,NA,NA,NA,NA
plan,NA,low_volume_crane_Meeting_8_Report,low_volume_crane_Meeting_8_Report,NA,NA,NA,NA,low_volume_crane_Meeting_8_Report,Report on travel and submit letter of support for low-volume unload crane,report,NA,NA,NA,NA,NA,NA
discussion,NA,low_volume_crane_Travel_Harbor_Builders_Completed_Discussion,low_volume_crane_Travel_Harbor_Builders_Completed_Discussion,NA,NA,NA,NA,low_volume_crane_Travel_Harbor_Builders_Completed_Discussion,Discuss the completed travel plans to Harbor Builders in Haacklee,NA,NA,NA,NA,NA,NA,NA
discussion,NA,low_volume_crane_Travel_Haacklee_Assembly_Co_Completed_Discussion,low_volume_crane_Travel_Haacklee_Assembly_Co_Completed_Discussion,NA,NA,NA,NA,low_volume_crane_Travel_Haacklee_Assembly_Co_Completed_Discussion,Discuss the completed travel plans to Haacklee Assembly Co. in Haacklee,NA,NA,NA,NA,NA,NA,NA
topic,NA,affordable_housing,affordable_housing,NA,NA,affordable_housing,Affordable housing for fishing workers (conflict with short-term rentals),NA,NA,NA,NA,NA,NA,NA,NA,NA
discussion,NA,affordable_housing_Meeting_6_Sites_Proposal_Discussion,affordable_housing_Meeting_6_Sites_Proposal_Discussion,NA,NA,NA,NA,affordable_housing_Meeting_6_Sites_Proposal_Discussion,Discuss potential sites for affordable housing,NA,NA,NA,NA,NA,NA,NA
plan,NA,affordable_housing_Meeting_6_Sites_Proposal,affordable_housing_Meeting_6_Sites_Proposal,NA,NA,NA,NA,affordable_housing_Meeting_6_Sites_Proposal,Discuss potential sites for affordable housing,proposal,NA,NA,NA,NA,NA,NA
discussion,NA,affordable_housing_Travel_Waveside_Townhomes_Discussion,affordable_housing_Travel_Waveside_Townhomes_Discussion,NA,NA,NA,NA,affordable_housing_Travel_Waveside_Townhomes_Discussion,Discuss travel plans to Waveside Townhomes in Lomark,NA,NA,NA,NA,NA,NA,NA
plan,NA,affordable_housing_Travel_Waveside_Townhomes,affordable_housing_Travel_Waveside_Townhomes,NA,NA,NA,NA,affordable_housing_Travel_Waveside_Townhomes,Travel to Waveside Townhomes in Lomark,Travel,NA,NA,NA,NA,NA,NA
NA,NA,Waveside Townhomes,48468290,NA,NA,NA,NA,NA,NA,NA,-165.60067726355345,39.52500051834688,residential,NA,NA,NA
discussion,NA,affordable_housing_Meeting_7_Debate_Discussion,affordable_housing_Meeting_7_Debate_Discussion,NA,NA,NA,NA,affordable_housing_Meeting_7_Debate_Discussion,Debate the conflict with short-term rentals,NA,NA,NA,NA,NA,NA,NA
plan,NA,affordable_housing_Meeting_7_Debate,affordable_housing_Meeting_7_Debate,NA,NA,NA,NA,affordable_housing_Meeting_7_Debate,Debate the conflict with short-term rentals,feedback,NA,NA,NA,NA,NA,NA
discussion,NA,affordable_housing_Travel_Waveside_Townhomes_Completed_Discussion,affordable_housing_Travel_Waveside_Townhomes_Completed_Discussion,NA,NA,NA,NA,affordable_housing_Travel_Waveside_Townhomes_Completed_Discussion,Discuss the completed travel plans to Waveside Townhomes in Lomark,NA,NA,NA,NA,NA,NA,NA
discussion,NA,affordable_housing_Meeting_8_Gather_Feedback_Discussion,affordable_housing_Meeting_8_Gather_Feedback_Discussion,NA,NA,NA,NA,affordable_housing_Meeting_8_Gather_Feedback_Discussion,Gather community feedback on housing needs,NA,NA,NA,NA,NA,NA,NA
plan,NA,affordable_housing_Meeting_8_Feedback,affordable_housing_Meeting_8_Feedback,NA,NA,NA,NA,affordable_housing_Meeting_8_Feedback,Gather community feedback on housing needs,feedback,NA,NA,NA,NA,NA,NA
discussion,NA,affordable_housing_Travel_Tidewater_Flats_Discussion,affordable_housing_Travel_Tidewater_Flats_Discussion,NA,NA,NA,NA,affordable_housing_Travel_Tidewater_Flats_Discussion,Discuss travel plans to Tidewater Flats in Lomark,NA,NA,NA,NA,NA,NA,NA
plan,NA,affordable_housing_Travel_Tidewater_Flats,affordable_housing_Travel_Tidewater_Flats,NA,NA,NA,NA,affordable_housing_Travel_Tidewater_Flats,Travel to Tidewater Flats in Lomark,Travel,NA,NA,NA,NA,NA,NA
NA,NA,Tidewater Flats,48480127,NA,NA,NA,NA,NA,NA,NA,-165.57066762430367,39.53933129844945,residential,NA,NA,NA
discussion,NA,affordable_housing_Meeting_9_Invite_Developers_Discussion,affordable_housing_Meeting_9_Invite_Developers_Discussion,NA,NA,NA,NA,affordable_housing_Meeting_9_Invite_Developers_Discussion,Invite housing developers,NA,NA,NA,NA,NA,NA,NA
plan,NA,affordable_housing_Meeting_9_Invite_Developers,affordable_housing_Meeting_9_Invite_Developers,NA,NA,NA,NA,affordable_housing_Meeting_9_Invite_Developers,Invite housing developers,feedback,NA,NA,NA,NA,NA,NA
discussion,NA,affordable_housing_Travel_Tidewater_Flats_Completed_Discussion,affordable_housing_Travel_Tidewater_Flats_Completed_Discussion,NA,NA,NA,NA,affordable_housing_Travel_Tidewater_Flats_Completed_Discussion,Discuss the completed travel plans to Tidewater Flats in Lomark,NA,NA,NA,NA,NA,NA,NA
discussion,NA,affordable_housing_Meeting_10_Travel_Findings_Discussion,affordable_housing_Meeting_10_Travel_Findings_Discussion,NA,NA,NA,NA,affordable_housing_Meeting_10_Travel_Findings_Discussion,Report on travel findings and draft housing proposal suggestion,NA,NA,NA,NA,NA,NA,NA
plan,NA,affordable_housing_Meeting_10_Housing_Proposal,affordable_housing_Meeting_10_Housing_Proposal,NA,NA,NA,NA,affordable_housing_Meeting_10_Housing_Proposal,Report on travel findings and draft housing proposal suggestion,proposal,NA,NA,NA,NA,NA,NA
topic,NA,renaming_park_himark,renaming_park_himark,NA,NA,renaming_park_himark,Renaming a park in Himark,NA,NA,NA,NA,NA,NA,NA,NA,NA
